Altium Designer Pick and Place Locations
C:\Applications\hardware\pca10095\trunk\production_files\400432_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       25.05.21
Time:       11:11
Revision:   20743
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW7","Switch","TopLayer","CAS-D20A","52.3214","19.4098","0","SMD slide Switch 2xSPDT"
"SB19","Solderbridge","TopLayer","Solderbridge","8.6106","61.1378","180","Solderbridge"
"R12","47k","TopLayer","RESC0603X03L_C","33.1470","19.9136","270","Resistor, ±1%, 0.05W"
"Q3","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","33.1470","18.0340","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"C22","10nF","TopLayer","CAPC0603X03L_C","31.9694","19.0154","180","Capacitor, X7R, ±10%"
"R11","49.9R","TopLayer","RESC0603X03L_C","49.4260","31.0388","0","Resistor, ±1%, 0.05W"
"X3","32MHz","TopLayer","BT-XTAL_2016","51.7010","33.9026","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C30","100nF","TopLayer","CAPC0603X03L_C","46.7510","25.1732","270","Capacitor, X5R, ±10%"
"C31","100nF","TopLayer","CAPC0603X03L_C","49.4260","30.3732","0","Capacitor, X5R, ±10%"
"C32","100nF","TopLayer","CAPC0603X03L_C","49.4260","32.5120","0","Capacitor, X5R, ±10%"
"C33","100nF","TopLayer","CAPC0603X03L_C","49.2260","34.1645","0","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","40.2760","32.2982","270","Capacitor, X5R, ±10%"
"C35","100nF","TopLayer","CAPC0603X03L_C","40.0010","29.9232","180","Capacitor, X5R, ±10%"
"C36","100nF","TopLayer","CAPC0603X03L_C","40.0010","27.5482","180","Capacitor, X5R, ±10%"
"C37","100nF","TopLayer","CAPC0603X03L_C","43.6526","25.1732","270","Capacitor, X5R, ±10%"
"C38","1.0µF","TopLayer","CAPC1005X04L","41.7260","35.8732","270","Capacitor, X5R, ±5%, 6.3V"
"C39","1.0µF","TopLayer","CAPC1005X04L","43.8260","35.8532","0","Capacitor, X5R, ±5%, 6.3V"
"C40","4.7µF","TopLayer","CAPC1608X06L","39.1510","36.1032","90","Capacitor, X7S, ±10%, 10V"
"R10","2R2","TopLayer","RESC0603X03L_C","38.1000","36.3474","270","Resistor, ±1%, 0.05W"
"R8","1M0","TopLayer","RESC0603X03L_C","32.2580","19.9136","270","Resistor, ±1%, 0.05W"
"Q2","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","50.2278","27.2860","270","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"C72","4.7µF","TopLayer","CAPC1608X06L","40.2760","36.1032","90","Capacitor, X7R, ±10%, 6.3V"
"C26","1.0µF","TopLayer","CAPC1005X04L","48.1010","35.0732","0","Capacitor, X5R, ±5%, 6.3V"
"C73","100nF","TopLayer","CAPC0603X03L_C","46.0950","34.3482","0","Capacitor, X5R, ±10%"
"C27","2.2nF","TopLayer","CAPC0603X03L_C","49.4260","31.6738","0","Capacitor, X7R, ±10%, 10V"
"C74","1.0µF","TopLayer","CAPC1005X04L","43.4760","34.9782","0","Capacitor, X5R, ±5%, 6.3V"
"C25","1.0µF","TopLayer","CAPC1005X04L","46.1260","35.0732","0","Capacitor, X5R, ±5%, 6.3V"
"U2","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","44.5760","30.0482","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"X1","32MHz","TopLayer","BT-XTAL_2016","123.2026","41.2432","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C15","100nF","TopLayer","CAPC0603X03L_C","115.4042","32.5138","270","Capacitor, X5R, ±10%"
"C14","100nF","TopLayer","CAPC0603X03L_C","112.0514","32.5138","270","Capacitor, X5R, ±10%"
"C8","100nF","TopLayer","CAPC0603X03L_C","118.4026","32.5138","270","Capacitor, X5R, ±10%"
"X2","32.768kHz","TopLayer","XTAL_2012","109.5276","34.9138","0","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"C13","100nF","TopLayer","CAPC0603X03L_C","110.0026","33.9138","180","Capacitor, X5R, ±10%"
"R78","4R7","TopLayer","RESC0603X03L_C","30.2514","40.1828","270","Resistor, ±1%, 0.05W"
"C24","100nF","TopLayer","CAPC0603X03L_C","82.3214","16.8148","0","Capacitor, X5R, ±10%"
"U25","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","82.8040","19.0912","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"TP57","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","80.7182","18.7988","180","1.5mm circular SMD testpad"
"TP56","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","83.7184","18.7988","180","1.5mm circular SMD testpad"
"TP55","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","83.7184","15.7988","180","1.5mm circular SMD testpad"
"TP54","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","80.7182","15.7988","180","1.5mm circular SMD testpad"
"R77","10k","TopLayer","RESC0603X03L_C","33.1724","38.4556","90","Resistor, ±1%, 0.05W"
"L1","2.2nH","TopLayer","INDC0603X03L_C","121.2262","38.3968","0","FIXED IND 2.2NH 600MA 120 MOHM"
"C21","N.C.","TopLayer","CAPC0603X03L_C_NC","122.0978","38.8564","270","Not mounted"
"SB26","Solderbridge","TopLayer","Solderbridge","77.7240","8.7884","180","Solderbridge"
"Bat1","Bat Holder CR2032","BottomLayer","L-KLS5-CR2032-23-B1","12.6746","31.7500","90","Bat Holder CR2032 SMD"
"R75","205R","TopLayer","RESC0603X03L_C","51.3080","44.5516","270","Resistor, ±1%, 0.05W"
"U1","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","116.0776","37.3888","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C18","4.7µF","TopLayer","CAPC1608X06L","111.7776","43.4438","90","Capacitor, X7S, ±10%, 10V"
"L2","10µH","TopLayer","INDC1608X06L","119.0526","43.4638","180","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"L4","10µH","TopLayer","INDC1608X06L","108.9026","37.4638","90","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"C16","1.0µF","TopLayer","CAPC1005X04L","113.2276","43.2138","270","Capacitor, X5R, ±5%, 6.3V"
"C5","1.0µF","TopLayer","CAPC1005X04L","115.8276","43.3438","0","Capacitor, X5R, ±5%, 6.3V"
"L3","10µH","TopLayer","INDC1608X06L","114.9276","44.3638","180","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"C3","1.0µF","TopLayer","CAPC1005X04L","119.6026","42.4642","0","Capacitor, X5R, ±5%, 6.3V"
"C2","1.0µF","TopLayer","CAPC1005X04L","117.3526","43.2638","90","Capacitor, X5R, ±5%, 6.3V"
"C17","4.7µF","TopLayer","CAPC1608X06L","110.6526","43.4438","90","Capacitor, X7S, ±10%, 10V"
"C11","100nF","TopLayer","CAPC0603X03L_C","120.9276","41.8130","0","Capacitor, X5R, ±10%"
"R13","N.C.","TopLayer","RESC0603X03L_C_NC","45.2160","22.1132","270","Not mounted"
"TP48","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","61.0870","44.6560","180","1.5mm circular SMD testpad"
"TP23","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","58.0870","38.6560","180","1.5mm circular SMD testpad"
"TP21","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","61.0870","41.6560","180","1.5mm circular SMD testpad"
"TP20","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","61.0870","38.6560","180","1.5mm circular SMD testpad"
"TP8","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","56.7578","24.2062","0","1.5mm circular SMD testpad"
"TP7","Ø1.5mm,SMD","BottomLayer","TP_SMD_Ø1.5mm","59.7578","24.2062","0","1.5mm circular SMD testpad"
"R25","1M0","TopLayer","RESC0603X03L_C","50.1904","28.3210","180","Resistor, ±1%, 0.05W"
"R23","150R","TopLayer","RESC0603X03L_C","55.6006","27.2034","90","Resistor, ±1%, 0.05W"
"R22","150R","TopLayer","RESC0603X03L_C","54.9995","27.2034","90","Resistor, ±1%, 0.05W"
"R21","150R","TopLayer","RESC0603X03L_C","54.3983","27.2034","90","Resistor, ±1%, 0.05W"
"R19","150R","TopLayer","RESC0603X03L_C","53.7972","27.2034","90","Resistor, ±1%, 0.05W"
